epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3584.42,0.65067,0.36642,0.89427,0.83353,0.8161,0.83514,0.53073,1.36038,0.70585,1.33009,0.000109,0.000109,0.000109
92,3622.76,0.64124,0.36078,0.88301,0.86604,0.80874,0.83533,0.53895,1.34399,0.73058,1.33103,9.91e-05,9.91e-05,9.91e-05
93,3661.29,0.62982,0.35562,0.88478,0.84503,0.81349,0.83806,0.53196,1.33719,0.70412,1.31542,8.92e-05,8.92e-05,8.92e-05
94,3699.67,0.61188,0.34623,0.87966,0.86084,0.81218,0.83671,0.53311,1.32046,0.70234,1.31516,7.93e-05,7.93e-05,7.93e-05
95,3738.06,0.60564,0.34206,0.87935,0.90105,0.78926,0.83758,0.53866,1.33985,0.70693,1.33006,6.94e-05,6.94e-05,6.94e-05
96,3776.47,0.60014,0.3413,0.87444,0.87789,0.7982,0.83878,0.53937,1.3362,0.71881,1.32162,5.95e-05,5.95e-05,5.95e-05
97,3815.26,0.58027,0.33396,0.86769,0.87492,0.81357,0.84351,0.54624,1.32853,0.72076,1.31807,4.96e-05,4.96e-05,4.96e-05
98,3853.62,0.56647,0.32894,0.86164,0.86117,0.81114,0.84169,0.54504,1.32891,0.71734,1.32676,3.97e-05,3.97e-05,3.97e-05
99,3892.48,0.56227,0.32616,0.86171,0.8619,0.80916,0.834,0.54143,1.34487,0.71821,1.34309,2.98e-05,2.98e-05,2.98e-05
100,3930.7,0.56593,0.33023,0.86563,0.86202,0.80666,0.8354,0.54257,1.33171,0.71265,1.33564,1.99e-05,1.99e-05,1.99e-05
